id,descripcion,fecha,valor,imagen,medioPago,categoria,comercio,estado,notas
 1 , "    Compra semanal de víveres    " , 2023-11-15 , 320000 , imagen_001.jpg , Tarjeta de Crédito ,    Alimentos    , Supermercado La Esquina , Aprobado , Compra de la semana
 2 , Viaje en taxi al trabajo , 15/11/2023 ,   25500   , imagen_002.jpg , Efectivo , TRANSPORTE , Uber , Aprobado , Viaje de ida 
 3 , Entradas de cine ,  , 45000.00 , imagen_003.jpg , Tarjeta de Débito , Entretenimiento , Cinepolis , Aprobado , Película de estreno
 4 , Factura de electricidad , 2023-11-16 ,   185700  , imagen_004.jpg , Transferencia Bancaria , Servicios , Empresa Eléctrica , Pendiente , Factura de noviembre
 5 , Consulta médica , 2023-11-16 ,  " 85000 "  , imagen_005.jpg , Tarjeta de Crédito , Salud , Clínica Central , Aprobado , Revisión anual
 6 , Libro de texto , 2023-11-16 , 145900 , imagen_006.jpg , Tarjeta de Débito ,   Educación   , Librería Universitaria , APROBADO , Para el curso de Python
 7 , Camiseta nueva , 2023-11-17 , 59900 , imagen_007.jpg , Tarjeta de Crédito , Ropa , Tienda de Ropa Moda Express , Aprobado , Oferta de temporada
 8 , Alquiler del mes , 2023-11-17 ,   2400000   , imagen_008.jpg , Transferencia Bancaria , Vivienda , Inmobiliaria Hogar , Aprobado , Pago de alquiler
 9 , Vuelo a Madrid , 2023-11-17 , 3500000 , imagen_009.jpg , Tarjeta de Crédito , Viajes , Aerolíneas del Sol , Aprobado , Vacaciones de invierno
 10 , Suscripción a Netflix , 2023-11-18 ,   NaN   , imagen_010.jpg , PayPal , entretenimiento , Netflix , Aprobado , Renovación mensual
 11 , Café y desayuno , 2023-11-18 ,   12500  , imagen_011.jpg , Efectivo , Alimentos , Cafetería El Grano , Aprobado , Reunión de trabajo
 12 , Recarga de gasolina , 2023-11-18 ,   150000   , imagen_012.jpg , Tarjeta de Debito , Transporte , Gasolinera Rápida , Aprobado , Tanque lleno
 13 , Reparación de ordenador , 2023-11-19 , 450000 , imagen_013.jpg , Tarjeta de Credito , Tecnología , Servicio Técnico PC , Aprobado , Cambio de disco duro
 14 , Cena en restaurante , 2023-11-19 ,   215000   , imagen_014.jpg , Tarjeta de Crédito ,    ALIMENTOS    , Restaurante Sabor Latino , Aprobado , Aniversario
 15 , Clases de inglés , 2023-11-19 ,   380000   , imagen_015.jpg , Transferencia Bancaria , Educación , Academia de Idiomas , Aprobado , Mensualidad
 16 , Compra en línea de gadgets , 2023-11-20 , 620000 , imagen_016.jpg , PayPal , Tecnología , Amazon , Aprobado , Auriculares inalámbricos
 17 , Medicamentos , 2023-11-20 ,   85400  , imagen_017.jpg , Tarjeta de Débito , Salud , Farmacia Salud Total , Aprobado , Receta médica
 18 , Corte de pelo , 2023-11-20 ,   35000  , imagen_018.jpg , Efectivo , Servicios , Peluquería Estilo , Aprobado , Corte y lavado
 19 , Entrada a museo , 2023-11-21 ,   20000   , imagen_019.jpg , Tarjeta de Crédito , Entretenimiento , Museo de Arte Moderno , Aprobado , Exposición temporal
 20 , Pago de internet , 2023-11-21 , 110000 , imagen_020.jpg , Transferencia Bancaria , Servicios , Proveedor de Internet , Aprobado , Factura mensual
 21 , Desayuno en cafetería , 2023-11-21 ,   15200   , imagen_021.jpg , Efectivo , Alimentos , Cafetería El Grano , Aprobado , Café y tostadas
 22 , Billete de autobús , 2023-11-22 ,   3500   , imagen_022.jpg , EFECTIVO , Transporte , Transporte Público , Aprobado , Viaje corto
 23 , Reparación de calzado , 2023-11-22 ,   25000   , imagen_023.jpg , Efectivo , Servicios , Zapatería Rápida , Aprobado , Cambio de suela
 24 , Regalo de cumpleaños , 2023-11-22 ,   180000   , imagen_024.jpg , Tarjeta de Crédito , Otros , Tienda de Regalos , Aprobado , Para mi hermana
 25 , Lavandería , 2023-11-23 ,   15000  , imagen_025.jpg , Efectivo , Servicios , Lavandería Autoservicio , Aprobado , Ropa de cama
 26 , Compra de software , 2023-11-23 ,   345000   , imagen_026.jpg , Tarjeta de Crédito , Tecnología , Tienda de Software , Aprobado , Licencia anual
 27 , Snacks y bebidas , 2023-11-23 ,   12800  , imagen_027.jpg , Efectivo , Alimentos , Tienda de Conveniencia , Aprobado , Para la tarde
 28 , Parqueo , 2023-11-24 ,   8000   , imagen_028.jpg , Efectivo , transporte , Estacionamiento Público , Aprobado , 2 horas
 29 , Entrada a concierto , 2023-11-24 ,   250000   , imagen_029.jpg , Tarjeta de Crédito , Entretenimiento , Sala de Conciertos , Aprobado , Banda favorita
 30 , Donación , 2023-11-24 ,   50000   , imagen_030.jpg , Transferencia Bancaria , Otros , Organización Benéfica , Aprobado , Ayuda social
 31 , Cena con amigos , 2023-11-25 ,   220000   , imagen_031.jpg , Tarjeta de Crédito , Alimentos , Restaurante Italiano , Aprobado , Noche de pizza
 32 , Mantenimiento del coche , 2023-11-25 ,   450000   , imagen_032.jpg , Tarjeta de Débito , Transporte , Taller Mecánico , Aprobado , Cambio de aceite
 33 , Suscripción a gimnasio , 2023-11-25 ,   120000   , imagen_033.jpg , Tarjeta de Crédito , Salud , Gimnasio Fitness , Aprobado , Mensualidad
 34 , Material de oficina , 2023-11-26 ,   45500  , imagen_034.jpg , Efectivo , Educación , Papelería Central , Aprobado , Bolígrafos y cuadernos
 35 , Ropa deportiva , 2023-11-26 ,   180000   , imagen_035.jpg , Tarjeta de Crédito , Ropa , Tienda Deportiva , Aprobado , Pantalones de ejercicio
 36 , Reparación de fontanería , 2023-11-26 ,   120000   , imagen_036.jpg , Transferencia Bancaria , Vivienda , Fontanero Express , Aprobado , Fuga en el baño
 37 , Viaje en tren , 2023-11-27 ,   85000   , imagen_037.jpg , Tarjeta de Débito , Viajes , Estación de Tren , Aprobado , Visita a la familia
 38 , Compra de videojuegos , 2023-11-27 , 260000 , imagen_038.jpg , PayPal , Entretenimiento , Tienda de Videojuegos , Aprobado , Juego nuevo
 39 , Almuerzo de trabajo , 2023-11-27 ,   35900   , imagen_039.jpg , Tarjeta de Crédito , Alimentos , Restaurante de Oficinas , Aprobado , Menú del día
 40 , Peaje , 2023-11-28 ,   10500   , imagen_040.jpg , Efectivo , Transporte , Autopista , Aprobado , Ida y vuelta
 41 , Servicio de limpieza , 2023-11-28 ,   80000   , imagen_041.jpg , Efectivo , Servicios , Servicio de Limpieza Hogar , Aprobado , Limpieza semanal
 42 , Entradas a parque temático , 2023-11-28 ,   450000   , imagen_042.jpg , Tarjeta de Crédito , Entretenimiento , Parque de Atracciones , Aprobado , Día en familia
 43 , Curso online , 2023-11-29 ,   320000   , imagen_043.jpg , Tarjeta de Crédito , Educación , Plataforma Educativa , Aprobado , Desarrollo web
 44 , Zapatos nuevos , 2023-11-29 ,   280000   , imagen_044.jpg , Tarjeta de Débito , Ropa , Zapatería Elegante , Aprobado , Zapatos de vestir
 45 , Impuestos , 2023-11-29 ,   850000   , imagen_045.jpg , Transferencia Bancaria , Vivienda , Agencia Tributaria , Aprobado , Impuesto predial
 46 , Hotel para viaje , 2023-11-30 ,   450000   , imagen_046.jpg , Tarjeta de Crédito , Viajes , Hotel Confort , Aprobado , Estancia de una noche
