id,descripcion,fecha,valor,imagen,medioPago,categoria,comercio,estado,notas
1,Compra semanal de víveres,2023-11-15,320000.0,Imagen_001.Jpg,Tarjeta De Crédito,Alimentos,Supermercado La Esquina,Aprobado,Compra De La Semana
2,Viaje en taxi al trabajo,2024-01-01,25500.0,Imagen_002.Jpg,Efectivo,Transporte,Uber,Aprobado,Viaje De Ida
3,Entradas de cine,2024-01-01,45000.0,Imagen_003.Jpg,Tarjeta De Débito,Entretenimiento,Cinepolis,Aprobado,Película De Estreno
4,Factura de electricidad,2023-11-16,185700.0,Imagen_004.Jpg,Transferencia Bancaria,Servicios,Empresa Eléctrica,Pendiente,Factura De Noviembre
5,Consulta médica,2023-11-16,0.0,Imagen_005.Jpg,Tarjeta De Crédito,Salud,Clínica Central,Aprobado,Revisión Anual
6,Libro de texto,2023-11-16,145900.0,Imagen_006.Jpg,Tarjeta De Débito,Educación,Librería Universitaria,Aprobado,Para El Curso De Python
7,Camiseta nueva,2023-11-17,59900.0,Imagen_007.Jpg,Tarjeta De Crédito,Ropa,Tienda De Ropa Moda Express,Aprobado,Oferta De Temporada
8,Alquiler del mes,2023-11-17,2400000.0,Imagen_008.Jpg,Transferencia Bancaria,Vivienda,Inmobiliaria Hogar,Aprobado,Pago De Alquiler
9,Vuelo a Madrid,2023-11-17,3500000.0,Imagen_009.Jpg,Tarjeta De Crédito,Viajes,Aerolíneas Del Sol,Aprobado,Vacaciones De Invierno
10,Suscripción a Netflix,2023-11-18,0.0,Imagen_010.Jpg,Paypal,Entretenimiento,Netflix,Aprobado,Renovación Mensual
11,Café y desayuno,2023-11-18,12500.0,Imagen_011.Jpg,Efectivo,Alimentos,Cafetería El Grano,Aprobado,Reunión De Trabajo
12,Recarga de gasolina,2023-11-18,150000.0,Imagen_012.Jpg,Tarjeta De Debito,Transporte,Gasolinera Rápida,Aprobado,Tanque Lleno
13,Reparación de ordenador,2023-11-19,450000.0,Imagen_013.Jpg,Tarjeta De Credito,Tecnología,Servicio Técnico Pc,Aprobado,Cambio De Disco Duro
14,Cena en restaurante,2023-11-19,215000.0,Imagen_014.Jpg,Tarjeta De Crédito,Alimentos,Restaurante Sabor Latino,Aprobado,Aniversario
15,Clases de inglés,2023-11-19,380000.0,Imagen_015.Jpg,Transferencia Bancaria,Educación,Academia De Idiomas,Aprobado,Mensualidad
16,Compra en línea de gadgets,2023-11-20,620000.0,Imagen_016.Jpg,Paypal,Tecnología,Amazon,Aprobado,Auriculares Inalámbricos
17,Medicamentos,2023-11-20,85400.0,Imagen_017.Jpg,Tarjeta De Débito,Salud,Farmacia Salud Total,Aprobado,Receta Médica
18,Corte de pelo,2023-11-20,35000.0,Imagen_018.Jpg,Efectivo,Servicios,Peluquería Estilo,Aprobado,Corte Y Lavado
19,Entrada a museo,2023-11-21,20000.0,Imagen_019.Jpg,Tarjeta De Crédito,Entretenimiento,Museo De Arte Moderno,Aprobado,Exposición Temporal
20,Pago de internet,2023-11-21,110000.0,Imagen_020.Jpg,Transferencia Bancaria,Servicios,Proveedor De Internet,Aprobado,Factura Mensual
21,Desayuno en cafetería,2023-11-21,15200.0,Imagen_021.Jpg,Efectivo,Alimentos,Cafetería El Grano,Aprobado,Café Y Tostadas
22,Billete de autobús,2023-11-22,3500.0,Imagen_022.Jpg,Efectivo,Transporte,Transporte Público,Aprobado,Viaje Corto
23,Reparación de calzado,2023-11-22,25000.0,Imagen_023.Jpg,Efectivo,Servicios,Zapatería Rápida,Aprobado,Cambio De Suela
24,Regalo de cumpleaños,2023-11-22,180000.0,Imagen_024.Jpg,Tarjeta De Crédito,Otros,Tienda De Regalos,Aprobado,Para Mi Hermana
25,Lavandería,2023-11-23,15000.0,Imagen_025.Jpg,Efectivo,Servicios,Lavandería Autoservicio,Aprobado,Ropa De Cama
26,Compra de software,2023-11-23,345000.0,Imagen_026.Jpg,Tarjeta De Crédito,Tecnología,Tienda De Software,Aprobado,Licencia Anual
27,Snacks y bebidas,2023-11-23,12800.0,Imagen_027.Jpg,Efectivo,Alimentos,Tienda De Conveniencia,Aprobado,Para La Tarde
28,Parqueo,2023-11-24,8000.0,Imagen_028.Jpg,Efectivo,Transporte,Estacionamiento Público,Aprobado,2 Horas
29,Entrada a concierto,2023-11-24,250000.0,Imagen_029.Jpg,Tarjeta De Crédito,Entretenimiento,Sala De Conciertos,Aprobado,Banda Favorita
30,Donación,2023-11-24,50000.0,Imagen_030.Jpg,Transferencia Bancaria,Otros,Organización Benéfica,Aprobado,Ayuda Social
31,Cena con amigos,2023-11-25,220000.0,Imagen_031.Jpg,Tarjeta De Crédito,Alimentos,Restaurante Italiano,Aprobado,Noche De Pizza
32,Mantenimiento del coche,2023-11-25,450000.0,Imagen_032.Jpg,Tarjeta De Débito,Transporte,Taller Mecánico,Aprobado,Cambio De Aceite
33,Suscripción a gimnasio,2023-11-25,120000.0,Imagen_033.Jpg,Tarjeta De Crédito,Salud,Gimnasio Fitness,Aprobado,Mensualidad
34,Material de oficina,2023-11-26,45500.0,Imagen_034.Jpg,Efectivo,Educación,Papelería Central,Aprobado,Bolígrafos Y Cuadernos
35,Ropa deportiva,2023-11-26,180000.0,Imagen_035.Jpg,Tarjeta De Crédito,Ropa,Tienda Deportiva,Aprobado,Pantalones De Ejercicio
36,Reparación de fontanería,2023-11-26,120000.0,Imagen_036.Jpg,Transferencia Bancaria,Vivienda,Fontanero Express,Aprobado,Fuga En El Baño
37,Viaje en tren,2023-11-27,85000.0,Imagen_037.Jpg,Tarjeta De Débito,Viajes,Estación De Tren,Aprobado,Visita A La Familia
38,Compra de videojuegos,2023-11-27,260000.0,Imagen_038.Jpg,Paypal,Entretenimiento,Tienda De Videojuegos,Aprobado,Juego Nuevo
39,Almuerzo de trabajo,2023-11-27,35900.0,Imagen_039.Jpg,Tarjeta De Crédito,Alimentos,Restaurante De Oficinas,Aprobado,Menú Del Día
40,Peaje,2023-11-28,10500.0,Imagen_040.Jpg,Efectivo,Transporte,Autopista,Aprobado,Ida Y Vuelta
41,Servicio de limpieza,2023-11-28,80000.0,Imagen_041.Jpg,Efectivo,Servicios,Servicio De Limpieza Hogar,Aprobado,Limpieza Semanal
42,Entradas a parque temático,2023-11-28,450000.0,Imagen_042.Jpg,Tarjeta De Crédito,Entretenimiento,Parque De Atracciones,Aprobado,Día En Familia
43,Curso online,2023-11-29,320000.0,Imagen_043.Jpg,Tarjeta De Crédito,Educación,Plataforma Educativa,Aprobado,Desarrollo Web
44,Zapatos nuevos,2023-11-29,280000.0,Imagen_044.Jpg,Tarjeta De Débito,Ropa,Zapatería Elegante,Aprobado,Zapatos De Vestir
45,Impuestos,2023-11-29,850000.0,Imagen_045.Jpg,Transferencia Bancaria,Vivienda,Agencia Tributaria,Aprobado,Impuesto Predial
46,Hotel para viaje,2023-11-30,450000.0,Imagen_046.Jpg,Tarjeta De Crédito,Viajes,Hotel Confort,Aprobado,Estancia De Una Noche
47,Suscripción a revista,2023-11-30,45000.0,Imagen_047.Jpg,Paypal,Educación,Editorial Conocimiento,Aprobado,Revista Mensual
48,Comida rápida,2023-11-30,32500.0,Imagen_048.Jpg,Efectivo,Alimentos,Hamburguesería Rápida,Aprobado,Almuerzo Rápido
49,Billetes de metro,2023-12-01,25000.0,Imagen_049.Jpg,Tarjeta De Débito,Transporte,Metro Urbano,Aprobado,Tarjeta De 10 Viajes
50,Masaje relajante,2023-12-01,150000.0,Imagen_050.Jpg,Tarjeta De Crédito,Salud,Spa Bienestar,Aprobado,Sesión De Una Hora
51,Reparación de electrodoméstico,2023-12-01,125000.0,Imagen_051.Jpg,Transferencia Bancaria,Vivienda,Servicio Técnico Hogar,Aprobado,Nevera
52,Entradas a teatro,2023-12-02,180000.0,Imagen_052.Jpg,Tarjeta De Crédito,Entretenimiento,Teatro Municipal,Aprobado,Obra De Comedia
53,Clases de yoga,2023-12-02,140000.0,Imagen_053.Jpg,Tarjeta De Débito,Salud,Estudio De Yoga,Aprobado,Mensualidad
54,Artículos de limpieza,2023-12-02,65400.0,Imagen_054.Jpg,Efectivo,Vivienda,Supermercado La Esquina,Aprobado,Productos Para El Hogar
55,Cena en casa,2023-12-03,110000.0,Imagen_055.Jpg,Tarjeta De Crédito,Alimentos,Supermercado La Esquina,Aprobado,Ingredientes Para La Cena
56,Taxi al aeropuerto,2023-12-03,85000.0,Imagen_056.Jpg,Tarjeta De Crédito,Transporte,Uber,Aprobado,Viaje De Regreso
57,Entrada a zoológico,2023-12-03,60000.0,Imagen_057.Jpg,Tarjeta De Débito,Entretenimiento,Zoológico De La Ciudad,Aprobado,Día Con Los Niños
58,Pago de hipoteca,2023-12-04,3200000.0,Imagen_058.Jpg,Transferencia Bancaria,Vivienda,Banco Principal,Aprobado,Cuota Mensual
59,Visita al dentista,2023-12-04,250000.0,Imagen_059.Jpg,Tarjeta De Crédito,Salud,Clínica Dental,Aprobado,Limpieza Y Revisión
60,Material de arte,2023-12-04,95000.0,Imagen_060.Jpg,Efectivo,Educación,Tienda De Manualidades,Aprobado,Pinturas Y Pinceles
61,Ropa interior,2023-12-05,80000.0,Imagen_061.Jpg,Tarjeta De Débito,Ropa,Tienda De Lencería,Aprobado,Renovación
62,Reparación de coche,2023-12-05,1200000.0,Imagen_062.Jpg,Tarjeta De Crédito,Transporte,Taller Mecánico,Aprobado,Cambio De Neumáticos
63,Cena de negocios,2023-12-05,450000.0,Imagen_063.Jpg,Tarjeta De Crédito,Alimentos,Restaurante Exclusive,Aprobado,Reunión Con Clientes
64,Suscripción a software,2023-12-06,85000.0,Imagen_064.Jpg,Paypal,Tecnología,Software Productividad,Aprobado,Herramienta De Diseño
65,Compra de libros,2023-12-06,120000.0,Imagen_065.Jpg,Tarjeta De Débito,Educación,Librería Central,Aprobado,Novelas
66,Servicio de jardinería,2023-12-06,75000.0,Imagen_066.Jpg,Efectivo,Vivienda,Jardinero Local,Aprobado,Corte De Césped
67,Entradas a partido de fútbol,2023-12-07,150000.0,Imagen_067.Jpg,Tarjeta De Crédito,Entretenimiento,Estadio Deportivo,Aprobado,Partido De Liga
68,Clases de cocina,2023-12-07,280000.0,Imagen_068.Jpg,Transferencia Bancaria,Educación,Escuela De Cocina,Aprobado,Curso De Repostería
69,Ropa de invierno,2023-12-07,450000.0,Imagen_069.Jpg,Tarjeta De Crédito,Ropa,Tienda De Abrigos,Aprobado,Chaqueta Y Bufanda
70,Viaje en autobús interurbano,2023-12-08,65000.0,Imagen_070.Jpg,Tarjeta De Débito,Viajes,Estación De Autobuses,Aprobado,Visita A Otra Ciudad
71,Compra de electrónica,2023-12-08,2800000.0,Imagen_071.Jpg,Tarjeta De Crédito,Tecnología,Tienda De Electrónica,Aprobado,Tablet Nueva
72,Almuerzo en la oficina,2023-12-08,18000.0,Imagen_072.Jpg,Efectivo,Alimentos,Cafetería De La Oficina,Aprobado,Menú Del Día
73,Lavado de coche,2023-12-09,25000.0,Imagen_073.Jpg,Efectivo,Transporte,Lavadero De Coches,Aprobado,Lavado Exterior
74,Entrada a concierto de jazz,2023-12-09,120000.0,Imagen_074.Jpg,Tarjeta De Crédito,Entretenimiento,Club De Jazz,Aprobado,Noche De Música
75,Donación a refugio de animales,2023-12-09,50000.0,Imagen_075.Jpg,Paypal,Otros,Refugio Animal,Aprobado,Ayuda A Mascotas
76,Cena romántica,2023-12-10,380000.0,Imagen_076.Jpg,Tarjeta De Crédito,Alimentos,Restaurante Gourmet,Aprobado,Aniversario
77,Mantenimiento de bicicleta,2023-12-10,120000.0,Imagen_077.Jpg,Efectivo,Transporte,Taller De Bicicletas,Aprobado,Ajuste De Frenos
78,Visita al oculista,2023-12-10,250000.0,Imagen_078.Jpg,Tarjeta De Débito,Salud,Óptica Visión,Aprobado,Revisión De La Vista
79,Material escolar,2023-12-11,75000.0,Imagen_079.Jpg,Efectivo,Educación,Papelería Escolar,Aprobado,Cuadernos Y Lápices
80,Vestido de fiesta,2023-12-11,550000.0,Imagen_080.Jpg,Tarjeta De Crédito,Ropa,Boutique De Moda,Aprobado,Para Evento Especial
81,Pago de agua,2023-12-11,85600.0,Imagen_081.Jpg,Transferencia Bancaria,Servicios,Empresa De Agua,Aprobado,Factura Mensual
82,Viaje en ferry,2023-12-12,120000.0,Imagen_082.Jpg,Tarjeta De Débito,Viajes,Compañía De Ferry,Aprobado,Excursión A La Isla
83,Suscripción a podcast premium,2023-12-12,25000.0,Imagen_083.Jpg,Paypal,Entretenimiento,Plataforma De Podcasts,Aprobado,Contenido Exclusivo
84,Desayuno en casa,2023-12-12,25000.0,Imagen_084.Jpg,Efectivo,Alimentos,Supermercado La Esquina,Aprobado,Pan Y Leche
85,Recarga de tarjeta de transporte,2023-12-13,50000.0,Imagen_085.Jpg,Tarjeta De Débito,Transporte,Estación De Metro,Aprobado,Crédito Para Viajes
86,Sesión de fisioterapia,2023-12-13,120000.0,Imagen_086.Jpg,Tarjeta De Crédito,Salud,Clínica De Fisioterapia,Aprobado,Espalda
87,Reparación de techo,2023-12-13,15000000.0,Imagen_087.Jpg,Transferencia Bancaria,Vivienda,Contratista De Techos,Aprobado,Outlier De Prueba
88,Entradas a ópera,2023-12-14,450000.0,Imagen_088.Jpg,Tarjeta De Crédito,Entretenimiento,Ópera Nacional,Aprobado,Noche Cultural
89,Clases de baile,2023-12-14,120000.0,Imagen_089.Jpg,Efectivo,Educación,Academia De Baile,Aprobado,Salsa
90,Zapatillas deportivas,2023-12-14,320000.0,Imagen_090.Jpg,Tarjeta De Débito,Ropa,Tienda De Deportes,Aprobado,Para Correr
91,Pago de gas,2023-12-15,95000.0,Imagen_091.Jpg,Transferencia Bancaria,Servicios,Compañía De Gas,Aprobado,Factura Mensual
92,Viaje en crucero,2023-12-15,8500000.0,Imagen_092.Jpg,Tarjeta De Crédito,Viajes,Agencia De Cruceros,Aprobado,Vacaciones De Lujo
93,Suscripción a VPN,2023-12-15,35000.0,Imagen_093.Jpg,Paypal,Tecnología,Provider Vpn,Aprobado,Seguridad Online
94,Almuerzo con compañeros,2023-12-16,120000.0,Imagen_094.Jpg,Tarjeta De Crédito,Alimentos,Restaurante Cercano,Aprobado,Comida De Equipo
95,Multa de tráfico,2023-12-16,0.0,Imagen_095.Jpg,Tarjeta De Débito,Ayuntamiento,Pendiente,Formato Moneda Incorrecto,Sin notas
96,Compra de muebles,2023-12-16,1850000.0,Imagen_096.Jpg,Tarjeta De Crédito,Vivienda,Tienda De Muebles,Aprobado,Sofá Nuevo
97,Entradas a festival de música,2023-12-17,650000.0,Imagen_097.Jpg,Tarjeta De Crédito,Entretenimiento,Organizador De Eventos,Aprobado,Festival De Verano
98,Curso de fotografía,2023-12-17,450000.0,Imagen_098.Jpg,Transferencia Bancaria,Educación,Estudio De Fotografía,Aprobado,Taller De Fin De Semana
99,Gafas de sol,2023-12-17,220000.0,Imagen_099.Jpg,Tarjeta De Débito,Ropa,Óptica De Moda,Aprobado,Protección Uv
100,Compra semanal de víveres,2023-11-15,320000.0,Imagen_001.Jpg,Tarjeta De Crédito,Alimentos,Supermercado La Esquina,Aprobado,Registro Duplicado
